function,module,link,has_spec,has_proof
fmt,curve25519_dalek::build,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/build.rs#L14,,
is_capable_simd,curve25519_dalek::build,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/build.rs#L76,,
determine_curve25519_dalek_bits_warning,curve25519_dalek::build,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/build.rs#L93,,
determine_curve25519_dalek_bits,curve25519_dalek::build,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/build.rs#L98,,
get_selected_backend,curve25519_dalek::backend,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/mod.rs#L53,,
pippenger_optional_multiscalar_mul,curve25519_dalek::backend,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/mod.rs#L77,,
VartimePrecomputedStraus::straus_multiscalar_mul,curve25519_dalek::backend,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/mod.rs#L174,,
VartimePrecomputedStraus::straus_optional_multiscalar_mul,curve25519_dalek::backend,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/mod.rs#L202,,
VartimePrecomputedStraus::variable_base_mul,curve25519_dalek::backend,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/mod.rs#L231,,
VartimePrecomputedStraus::vartime_double_base_mul,curve25519_dalek::backend,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/mod.rs#L245,,
ProjectivePoint::identity,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L238,yes,yes
ProjectiveNielsPoint::default,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L261,yes,yes
ProjectiveNielsPoint::conditional_select,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L361,,
ProjectivePoint::as_extended,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L405,yes,
CompletedPoint::as_projective,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L438,yes,
ProjectivePoint::double,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L505,yes,
EdwardsPoint::add,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L605,yes,
EdwardsPoint::sub,curve25519_dalek::backend::serial::curve_models,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L683,,
